Curso;Carga Horária;Tipo;Área Tecnológica;Requisitos Mínimos de Acesso;Idade mínima;Investimentos;Matrículas Presencial;Link
Ajustador Mecânico;180;QP;Metalmecânica;Ensino Fundamental Concluído;16 anos;R$ 90,00;RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP. Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.;https://sp.senai.br/curso/ajustador-mecanico/87977
Comandos Elétricos;144;AP;Eletrotécnica;6ª série do Ensino Fundamental, Certificado na área eletroeletrônica ou comprovar conhecimentos ou experiências anteriores;18 anos;R$ 90,00;RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP. Pré-requisitos do curso.;Link para matricula on-line: https://sp.senai.br/curso/comandos-eletricos/108368
Eletricista de Manutenção Industrial_240h_QP;240;QP;;"* Requisitos Mínimos de Acesso:  6° série do Ensino Fundamental; 18 anos.";;Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.";
Eletrohidráulica_40h_AP;40;AP;Eletroeletrônica;"* Requisitos Mínimos de Acesso:  Concluído a 5º serie do Ensino Fundamental; 18 anos; Comprovar conhecimentos ou experiências anteriores na área eletroeletrônica;";18;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
";
Eletropneumática_40h_AP;40;AP;Eletroeletrônica;"* Requisitos Mínimos de Acesso:  Concluído a 8ª série do Ensino Fundamental; 18 anos; Comprovar conhecimentos ou experiências anteriores na área eletroeletrônica;";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
";
Excel Avançado_40h_AP;40;AP;Informática;"* Requisitos Mínimos de Acesso:  Concluído o Ensino Fundamental; 14 anos; Comprovar conhecimentos ou experiências anteriores referentes ao Microsoft Excel Básico em outros cursos, no trabalho ou em outros meios informais.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Ferramenteiro de Corte e Dobra_240h_EP;240;EP;Metalmecânica;"* Requisitos Mínimos de Acesso: 6ª série do Ensino Fundamental; 16 anos; Certificado de Ajustador Mecânico ou Mecânico de Usinagem ou comprovar conhecimentos e experiências anteriores referentes a esta especialização, adquiridos em outros cursos, no trabalho ou em outros meios informais.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Informática Básica_60h_IP;60;IP;Informática;"* Requisitos Mínimos de Acesso: 4ª série ou 5º ano do Ensino Fundamental; 14 anos.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Inspetor de Qualidade_200h_QP;200;QP;Metalmecânica;"* Requisitos Mínimos de Acesso:  Concluído o Ensino Fundamental; 14 anos..";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Mecânico de Manutenção de Equipamentos Industriais_260h_QP;260;QP;Metalmecânica;"* Requisitos Mínimos de Acesso: Concluído o Ensino Fundamental; 16 anos.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Microsoft Power BI_32h_AP;32;AP;Informática;"* Requisitos Mínimos de Acesso:  Concluído Ensino Fundamental; 14 anos; Certificado ou experiências anteriores em informática básica adquiridos em cursos, no trabalho e ou em outros meios informais..";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
NR - 11 - Operação de Ponte Rolante_24h_AP;24;AP;Saúde e Segurança no Trabalho;"* Requisitos Mínimos de Acesso:  4ª série ou 5º ano  do Ensino Fundamental; 18 anos.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.";
NR-11 - Operação de Empilhadeira_32h_AP;32;AP;Saúde e Segurança no Trabalho;"* Requisitos Mínimos de Acesso:  4ª série ou 5º ano  do Ensino Fundamental; 18 anos; CNH – categorias B, C, D ou E.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.";
Operador de Injetoras para Termoplástico _160h_QP;160;QP;Metalmecânica;"* Requisitos Mínimos de Acesso: Concluído Ensino Fundamental; 18 anos;";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
eve apresentar RG e CPF.";
Operador de Centro de Usinagem CNC_200h_QP;200;QP;Metalmecânica;"* Requisitos Mínimos de Acesso: Concluído Ensino Fundamental; 14 anos;";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Operador de Máquinas de Usinagem Convencionais_220h_QP;220;QP;Metalmecânica;"* Requisitos Mínimos de Acesso: Concluido Ensino Fundamental I;  16 anos.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Operador de Prensa Industrial_200h_QP;200;QP;Metalmecânica;"* Requisitos Mínimos de Acesso: Concluído o Ensino Fundamental; 18 anos.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.";
Operador de Torno CNC_200h_QP;200;QP;Metalmecânica;"* Requisitos Mínimos de Acesso: Concluído Ensino Fundamental; 14 anos;";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Programação de Robôs Articulados_80_AP;80;AP;Informática;"* Requisitos Mínimos de Acesso:  Ensino Fundamental  Concluído; 16 anos,  Conhecimento Informática.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Programação e Impressão 3D _24_AP;24;AP;Informática;"* Requisitos Mínimos de Acesso:  Ensino Fundamental I Concluído; 14 anos,  Conhecimento Informática.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"Matrícula Presencial: Documentos: RG, CPF, Comprovante de Escolaridade; Informar: (E-mail, Telefone e Endereço com CEP da rua), Pré-requisitos do curso.                                                                                                                                   Se menor de idade, aluno deve estar acompanhado do Responsável legal com RG e CPF                                                                                                                               ";
Realidade Virtual _32h_AP;32;AP;Informática;"* Requisitos Mínimos de Acesso:  Ensino Fundamental Concluído; 14 anos, Conhecimento Informática.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Solidworks _80h_AP;80;AP;Informática;"* Requisitos Mínimos de Acesso: Ensino Fundamental concluido; • mínimo,16 anos completos; Ter conhecimentos ou experiências anteriores na área de Metalmecânica, adquiridos em outros cursos, no trabalho e ou em outros meios informais.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Soldagem de Manutenção_60h_AP;60;AP;Metalurgia;"* Requisitos Mínimos de Acesso: Ensino Fundamental concluído; 16 anos; certificação em Auxiliar Mecânico de Manutenção OU Mecânico de Manutenção de Equipamentos Industriais OU Soldador ao Arco Elétrico e Oxigás";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF, Comprovante de Escolaridade e Comprovante do Requisito. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.";
Soldador ao Arco Elétrico e Oxigás_168h_QP;168;QP;Metalurgia;"* Requisitos Mínimos de Acesso:  6ª série ou 7º ano do Ensino Fundamental; 18 anos.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.";
Torneiro Mecânico_200h_QP;200;QP;Metalmecânica;"* Requisitos Mínimos de Acesso: Concluído o Ensino Fundamental I; 14 anos.";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.
Caso o aluno seja menor de idade, é obrigatório o acompanhamento do responsável legal, que deve apresentar RG e CPF.";
Eletricista Instalador Predial_160h_QP;160;QP;Eletrônica e Automação;"* Requisitos Mínimos de Acesso: Concluído a 6ª série ou 7° ano do Ensino Fundamental. Idade mínima de 18 anos.
";;* Investimentos: Valores do Curso +Matricula  R$ 90,00 ( Cartão / Pix / Depósito Agência 0449-9 C/C 10817-0).;"* Matrícula Presencial:  Documentos necessários: RG, CPF e Comprovante de Escolaridade. Informações a serem fornecidas: e-mail, telefone e endereço completo com CEP.
Pré-requisitos do curso.";
